game_id,source,source_title,confidence_score,matched_by
divinity_original_sin,vgsales,Divinity: Original Sin,100,exact_title_platform_year
darkest_of_days,metacritic,Darkest of Days,100,exact_title_platform_year
darkwatch,metacritic,Darkwatch,100,exact_title_platform_year
darwin_project,metacritic,Darwin Project,100,exact_title_platform_year
dash_of_destruction,metacritic,Dash of Destruction,100,exact_title_platform_year
dauntless,metacritic,Dauntless,100,exact_title_platform_year
dave_mirra_freestyle_bmx,vgsales,Dave Mirra Freestyle BMX,100,exact_title_platform_year
dave_mirra_freestyle_bmx_2,vgsales,Dave Mirra Freestyle BMX 2,100,exact_title_platform_year
dave_mirra_freestyle_bmx_maximum_remix,metacritic,Dave Mirra Freestyle BMX: Maximum Remix,100,exact_title_platform_year
dawn_of_mana,vgsales,Dawn of Mana,100,exact_title_platform_year
dc_super_hero_girls_teen_power,metacritic,DC Super Hero Girls: Teen Power,100,exact_title_platform_year
dc_universe_online,vgsales,DC Universe Online,100,exact_title_platform_year
de_blob,vgsales,de Blob,100,exact_title_platform_year
dead_block,metacritic,Dead Block,100,exact_title_platform_year
dead_effect,metacritic,Dead Effect,100,exact_title_platform_year
dead_island,metacritic,Dead Island,100,exact_title_platform_year
dead_island,metacritic,Dead Island,100,exact_title_platform_year
dark_souls,metacritic,Dark Souls,100,exact_title_platform_year
dark_souls_ii,metacritic,Dark Souls II,100,exact_title_platform_year
dead_man_s_hand,metacritic,Dead Man's Hand,100,exact_title_platform_year
dead_nation,metacritic,Dead Nation,100,exact_title_platform_year
chuck_e_cheese_s_gameroom,vgsales,Chuck E. Cheese's Game Room,100,exact_title_platform_year
dead_or_alive,metacritic,Dead or Alive,100,exact_title_platform_year
dead_or_alive_5_plus,metacritic,Dead or Alive 5 Plus,100,exact_title_platform_year
cid_the_dummy,vgsales,CID The Dummy,100,exact_title_platform_year
cities_in_motion,metacritic,Cities in Motion,100,exact_title_platform_year
cities_in_motion,metacritic,Cities in Motion,100,exact_title_platform_year
cities_in_motion_2,metacritic,Cities in Motion 2,100,exact_title_platform_year
citizens_unite_earth_x_space,metacritic,Citizens Unite!: Earth x Space,100,exact_title_platform_year
clash_of_the_titans,metacritic,Clash of the Titans,100,exact_title_platform_year
clash_of_the_titans,vgsales,Clash of the Titans,100,exact_title_platform_year
cladun_x2,metacritic,ClaDun x2,100,exact_title_platform_year
clannad_mitsumi_mamoru_sakamichi_de_joukan,vgsales,Clannad: Mitsumi Mamoru Sakamichi de - Joukan,100,exact_title_platform_year
dark_souls_ii,vgsales,Dark Souls II,100,exact_title_platform_year
classic_nes_series_castlevania,metacritic,Classic NES Series: Castlevania,100,exact_title_platform_year
darius_cozmic_collection_console,metacritic,Darius Cozmic Collection: Console,100,exact_title_platform_year
dark_souls_ii_scholar_of_the_first_sin,metacritic,Dark Souls II: Scholar of the First Sin,100,exact_title_platform_year
clid_the_snail,metacritic,Clid the Snail,100,exact_title_platform_year
dead_or_alive_xtreme_beach_volleyball,vgsales,Dead or Alive Xtreme Beach Volleyball,100,exact_title_platform_year
clever_kids_pirates,vgsales,Clever Kids: Pirates,100,exact_title_platform_year
clever_kids_creepy_crawlies,vgsales,Clever Kids: Creepy Crawlies,100,exact_title_platform_year
close_to_the_sun,metacritic,Close to the Sun,100,exact_title_platform_year
